"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
237,"Precinct Committeeman YRK 049 - D","Malik K. Ahmed","D",26,100.00,897,110696,1,1,"0","0"
238,"Precinct Committeeman YRK 051 - D","Nicholas Giannini","D",1,100.00,877,110696,1,1,"0","0"
239,"Precinct Committeeman YRK 052 - D","Deborah M. Bullwinkel","D",17,100.00,715,110696,1,1,"0","0"
240,"Precinct Committeeman YRK 055 - D","Thomas E. Cullerton","D",19,52.78,534,110696,1,1,"0","0"
241,"Precinct Committeeman YRK 055 - D","Arthur P. Biladeau","D",17,47.22,534,110696,1,1,"0","0"
242,"Precinct Committeeman YRK 057 - D","Margaret L. Harmon","D",30,100.00,534,110696,1,1,"0","0"
243,"Precinct Committeeman YRK 066 - D","Joe Vosicky","D",20,100.00,879,110696,1,1,"0","0"
244,"Precinct Committeeman YRK 067 - D","Jennifer Ashrafi","D",18,100.00,705,110696,1,1,"0","0"
245,"Precinct Committeeman YRK 068 - D","Daniel Hippensteel","D",15,100.00,531,110696,1,1,"0","0"
246,"Precinct Committeeman YRK 085 - D","Laura Swink Font","D",15,100.00,679,110696,1,1,"0","0"
